Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C57, C63, C65",1206,4,10u 50V,C13585
"C10, C19, C21, C31, C49",1210,5,10uF 100V,C5156756
"C12, C2, C3",1206,3,10uF 50V,C7432781
"C23, C24, C4, C41, C42, C5",1206,6,470pF,C377098
"C27, C29, C44, C45, C7, C9",1206,6,3nF 100V,C7393993
"C34, C40, C48",1206,3,220nF 100V,C377088
"C61, C67, C69",1206,3,100n 50V,C24497
"D10, D11, D19, D20, D26, D27, D28, D29, D5, D6, D7, D8",D_SOD-123,12,D_Schottky,C181204
"D12, D13, D9",D_SMA,3,SS110,C432299
D16,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
"D25, D3, D4",1206,3,LED RED,C965822
L1,IND-SMD_L7.1-W6.6_H5.0,1,SMMS0650-680M,C2894721
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Horizontal_TabUp,6,IRF1407,C33129604
"R1, R10, R2, R21, R22, R31, R32, R45, R51, R54, R9",1206,11,10k,C17902
"R13, R14, R15, R16, R19, R20, R25, R26, R27, R28, R29, R3, R30, R35, R36, R37, R38, R4",1206,18,10,C137208
"R17, R18, R46, R5, R52, R55, R6, R7, R8",1206,9,100,C113307
R53,1206,1,1k,C2907440
"U1, U2, U3",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,3,EG2131_C5240691,C5240691
U4,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
