Designator,Mid X,Mid Y,Rotation,Layer
C1,83.8,22.375,90.0,top
C10,38.87,66.26,270.0,top
C12,74.26,39.03,0.0,top
C17,8.362755,65.95,0.0,bottom
C18,8.35,82.8,0.0,bottom
C19,92.25,71.88,270.0,top
C2,31.445,39.03,0.0,top
C21,95.58,71.92,270.0,top
C27,64.58,72.09,270.0,top
C29,64.6,56.9,270.0,top
C3,53.05,39.03,0.0,top
C31,60.4,66.19,270.0,top
C34,30.4,49.4,0.0,top
C40,52.0,49.4,0.0,top
C44,85.375,57.1,270.0,top
C45,85.375,72.1125,270.0,top
C48,73.24,49.36,0.0,top
C49,81.67,66.24,270.0,top
C55,89.45,19.2,0.0,top
C57,82.95,14.85,270.0,top
C58,70.45,5.75,0.0,top
C61,10.665,26.67,180.0,top
C63,63.4,6.65,270.0,top
C65,65.85,4.25,90.0,top
C67,10.66,19.65,180.0,top
C69,10.6225,12.56,180.0,top
C7,42.525,56.95,270.0,top
C9,42.4,72.1625,270.0,top
D10,73.04,54.8,90.0,top
D11,73.09,65.15,90.0,top
D12,47.8,45.1,270.0,top
D13,69.0,44.75,270.0,top
D16,74.45,13.9,270.0,top
D19,15.8275,29.23,180.0,top
D2,91.4,12.45,0.0,top
D20,15.7825,26.85,0.0,top
D25,62.9625,13.15,180.0,top
D26,15.61,21.98,180.0,top
D27,15.6825,19.67,0.0,top
D28,15.6025,14.91,180.0,top
D29,15.6325,12.56,0.0,top
D3,90.2,25.32,90.0,top
D4,17.1,88.8,90.0,top
D5,30.18,54.64,90.0,top
D6,30.27,65.35,90.0,top
D7,51.69,54.65,90.0,top
D8,51.99,65.25,90.0,top
D9,26.25,45.3,270.0,top
H5,67.155617,26.546288,0.0,top
J1,36.18,6.32,90.0,top
J2,87.3,5.5,0.0,top
J3,59.65,96.65,180.0,bottom
J4,4.24,22.09,270.0,top
L1,69.3,13.95,270.0,top
Q1,35.4,70.16,270.0,bottom
Q2,35.22,59.35,270.0,bottom
Q3,56.9,59.35,270.0,bottom
Q4,78.5,59.35,270.0,bottom
Q5,78.45,70.16,270.0,bottom
Q6,57.05,70.16,270.0,bottom
R1,87.66,25.25,90.0,top
R10,31.56,68.85,0.0,top
R13,44.8,61.75,270.0,top
R14,42.4,67.4625,270.0,top
R15,42.475,61.725,270.0,top
R16,44.8,67.4625,270.0,top
R17,73.1,35.3,90.0,top
R18,75.5,35.3,90.0,top
R19,54.04,54.7,90.0,top
R2,17.1,93.7625,270.0,top
R20,54.39,65.3,90.0,top
R21,51.64,59.5,90.0,top
R22,53.29,68.85,0.0,top
R25,64.58,67.3775,270.0,top
R26,67.0,61.8,270.0,top
R27,66.94,67.4075,270.0,top
R28,64.57,61.73,270.0,top
R29,75.34,54.8,90.0,top
R3,32.58,54.6625,90.0,top
R30,75.49,65.2,90.0,top
R31,72.99,59.5,90.0,top
R32,74.34,68.85,0.0,top
R35,85.375,61.7875,270.0,top
R36,87.675,67.4625,270.0,top
R37,87.675,61.775,270.0,top
R38,85.375,67.4625,270.0,top
R4,32.67,65.29,90.0,top
R45,10.65,31.41,0.0,top
R46,10.67,29.08,0.0,top
R5,30.2,35.3625,90.0,top
R51,10.64,24.3,0.0,top
R52,10.65,21.98,0.0,top
R53,62.9125,10.75,180.0,top
R54,10.68,17.27,0.0,top
R55,10.65,14.9,0.0,top
R6,32.6,35.4,90.0,top
R7,51.9,35.4375,90.0,top
R8,54.3,35.4,90.0,top
R9,30.17,59.5,90.0,top
U1,31.42,44.27,270.0,top
U2,52.97,44.27,270.0,top
U3,74.28,44.27,270.0,top
U4,78.75,14.65,90.0,top
U6,78.55,5.35,0.0,top
